SKU;Nome do Produto;Link Gigil (Mercado Livre);Link Lumiss (Mercado Livre)
11605674834;Tamanco Feminino Off White Verniz Molhado Salto Baixo Dourado Metalizado Bico Quadrado;;
11605700934;Tamanco Preto de Dedo Domidona Tiras Finas de Strass Salto Médio Fino;;
11605738334;Tamanco Dourado de Dedo Domidona Tiras Finas de Strass Salto Médio Fino;;
11605870934;Sandália Feminina Caramelo Salto Alto Grosso Cromado Tiras Com Tachas;;
11605874634;Sandália Feminina Off White Salto Alto Grosso Cromado Tiras Com Tachas;;
11605913034;Tamanco de Dedo Domidona Bico Quadrado Salto Fino Elegante Marsala;;
11605923134;Tamanco de Dedo Domidona Bico Quadrado Salto Fino Elegante Off White;;
11605971034;Tamanco de Dedo Domidona Bico Quadrado Salto Fino Elegante Preto;;
11605971134;Tamanco de Dedo Domidona Bico Quadrado Salto Fino Elegante Marrom;;
11605977234;Tamanco de Dedo Domidona Bico Quadrado Salto Fino Elegante Marrom Rocha;;
11606000934-35;Tamanco Feminino em Vinil Salto Baixo Bico Quadrado Confortável 116.60;;
11606001934-35;Tamanco Feminino em Vinil Salto Baixo Bico Quadrado Confortável 116.60;;
11606079134-35;Tamanco Feminino em Vinil Salto Baixo Bico Quadrado Confortável 116.60;;
11701119534;Sandália Feminina Papete Flatform Calce Fácil Tira De Strass Preta;;
11701119734;Sandália Feminina Papete Flatform Calce Fácil Tira De Strass Off White;;
11701419534;Sandália Feminina Papete Flatform Com Tiras De Strass Moda Preta;;
11701419734;Sandália Feminina Papete Flatform Com Tiras De Strass Moda Off White;;
11800400934;Sapatilha Feminina Bico Fino Laço Strass Elegante Preto;;
11800403334;Sapatilha Feminina Bico Fino Laço Strass Elegante Dourado;;
11800404134;Sapatilha Feminina Bico Fino Laço Strass Elegante Nude;;
11800412134;Sapatilha Feminina Bico Fino Laço Strass Elegante Off White;;
11800428634;Sapatilha Feminina Bico Fino Laço Strass Elegante Prata;;
11800604134;Sapatilha Feminina Bico Fino Detalhe Laço Elegante Da Moda Nude;;
11800628634;Sapatilha Feminina Bico Fino Detalhe Laço Elegante Da Moda Prata;;
11801101234;Sapatilha Feminina Bico Fino Em Verniz Tira Calcanhar Fivela Vermelho;;
11801117234;Sapatilha Feminina Bico Fino Em Verniz Tira Calcanhar Fivela Preto;;
11801201234;Sapatilha Feminina Bico Fino Verniz Elegante Tira Slingback Vermelho;;
11801217234;Sapatilha Feminina Bico Fino Verniz Elegante Tira Slingback Preta;;
11801219834;Sapatilha Feminina Bico Fino Verniz Elegante Tira Slingback Nude;;
11801319534;Sapatilha Feminina Bico Fino Com Detalhes Dourados Fivela Preta;;
11801319734;Sapatilha Feminina Bico Fino Com Detalhes Dourados Fivela Off White;;
11801419534;Sapatilha Feminina Bico Fino Com Tira Enfeite De Strass Brilho Preta;;
11801438334;Sapatilha Feminina Bico Fino Com Tira Enfeite De Strass Brilho Dourado;;
11801512534;Sapatilha Feminina Slingback Bico Fino Verniz Tiras E Fivela Marsala;;
11801517534;Sapatilha Feminina Slingback Bico Fino Verniz Tiras E Fivela Preta;;
11801519734;Sapatilha Feminina Slingback Bico Fino Verniz Tiras E Fivela Off White;;
11801604134;Sapatilha Feminina Bico Fino Detalhe Tira Em Nó Da Moda Nude;;
11801619534;Sapatilha Feminina Bico Fino Detalhe Tira Em Nó Da Moda Preta;;
11801638334;Sapatilha Feminina Bico Fino Detalhe Tira Em Nó Da Moda Dourado;;
11801770934;Sapatilha Feminina Caramelo Slingback Bico Fino Laço ABS Metalizado;;
11801777234;Sapatilha Feminina Slingback Marrom Laço Com Aplique Dourado Metalizado;;
11801838334;Sapatilha Verniz Dourada Bico Fino Tiras Duplas Fivela Oval Estilo Boho;;
11801870934;Sapatilha Verniz Caramelo Bico Fino Tiras Duplas Fivela Oval Estilo Boho;;
11801871034;Sapatilha Verniz Preta Bico Fino Tiras Duplas Fivela Oval Estilo Boho;;
11802101934;Sapatilha Feminina Camurça Animal Print Vaca Caramelo Bico Fino;;
11802112134;Sapatilha Feminina Camurça Animal Print Vaca Preta Bico Fino;;
12002501234;Scarpin Salto Alto Bico Fino Elegante Confortável Vermelho;;
12002503334;Scarpin Salto Alto Bico Fino Elegante Confortável Dourado;;
12002517534;Scarpin Salto Alto Bico Fino Elegante Confortável Preto Verniz;;
12002601234;Scarpin Feminino Bico Fino Salto Bloco Grosso Brilhante Luxo Vermelho;;
12002717534;Scarpin Feminino Slingback De Salto Bico Fino Tira Tornozelo Preto;;
12002719734;Scarpin Feminino Slingback De Salto Bico Fino Tira Tornozelo Off White;;
12002801234;Scarpin Feminino Slingback Salto Alto Fino Tiras Com Fivelas Vermelho;;
12002819734;Scarpin Feminino Slingback Salto Alto Fino Tiras Com Fivelas Off White;;
12002901234;Scarpin Feminino Slingback Bico Fino Metalizado Salto Fino Elegante Vermelho;;
12003019734;Scarpin Feminino Bico Fino Metalizado Salto Alto Agulha Elegante Off White;;
12003019834;Scarpin Feminino Bico Fino Metalizado Salto Alto Agulha Elegante Nude;;
12003119534;Scarpin Feminino Preto Bico Fino Enfeite Metalizado12003119734Scarpin Feminino Off White Bico Fino Enfeite Metalizado;;
12003119834;Scarpin Feminino Nude Bico Fino Enfeite Metalizado12100600934Bota Feminina Espiral De Strass Salto Fino Elegante Preto;;
12100700934;Bota Feminina Cano Curto Bico Fino Salto Alto Laço Strass Elegante Preto;;
12201700934;Bota Over The Knee Cano Longo Salto Grosso Com Strass Brilhante Preto;;
12201828634;Bota Feminina Slouchy Bico Fino Salto Bloco Elegante Prata;;
12202071034;Bota Feminina Preta Domidona Cano Alto Salto Bloco Confortável;;
12202071134;Bota Feminina Marrom Domidona Cano Alto Salto Bloco Confortável;;
12700519534;Bota Texana Feminina Western Country Bico Fino Cano Médio;;
12700519734;Bota Texana Feminina Western Country Bico Fino Cano Médio;;
12700528634;Bota Texana Feminina Western Country Bico Fino Cano Médio;;
12700603134;Bota Texana Feminina Western Country Bordada Cano Médio Moda;;
12700619534;Bota Texana Feminina Western Country Bordada Cano Médio Moda;;
12700619734;Bota Texana Feminina Western Country Bordada Cano Médio Moda;;
12700628634;Bota Texana Feminina Western Country Bordada Cano Médio Moda;;
12700919534;Bota Feminina Texana Western Cano Curto Bordada Confortável Preta;;
12700919734;Bota Feminina Texana Western Cano Curto Bordada Confortável Off White;;
12700928634;Bota Feminina Texana Western Cano Curto Bordada Confortável Prata;;
12701019534;Bota Feminina Texana Western Cano Longo Bordada Bico Fino Preta;;
12701019734;Bota Feminina Texana Western Cano Longo Bordada Bico Fino Off White;;
12701028634;Bota Feminina Texana Western Cano Longo Bordada Bico Fino Prata;;
14400419534;Sandália Feminina Anabela Plataforma Salto Alto De Madeira Preto;;
14400419734;Sandália Feminina Anabela Plataforma Salto Alto De Madeira 144.04 Off White;;
14700100134;Sandália Feminina Salto Bloco Bico Quadrado Transparente Branco;;
14700100334;Sandália Feminina Salto Bloco Bico Quadrado Transparente Pink;;
14700100934;Sandália Feminina Salto Bloco Bico Quadrado Transparente Preto;;
14700101234;Sandália Feminina Salto Bloco Bico Quadrado Transparente Vermelho;;
14700101634;Sandália Feminina Salto Bloco Bico Quadrado Transparente Lilás;;
